# Bar presence as function of log(M_star/M_sun) and log(f_gas) for D < 25 Mpc, with V_max weights
logmstar   logfgas  weight   bar
9.320   -1.279   1.853    0
8.917   -0.202   1.000    0
8.924   -0.528   1.046    1
9.283   -0.563   1.000    1
8.779   -0.190   1.000    1
8.960   -0.909   1.754    0
8.763   0.274   1.596    1
9.119   0.024   1.000    1
9.096   -0.216   1.000    1
8.694   -0.639   1.521    0
9.506   -0.325   1.000    1
9.202   -0.037   1.000    1
9.179   -0.666   1.493    1
9.173   -0.688   2.477    1
9.024   0.134   1.000    1
8.801   0.073   1.000    0
9.024   -99.000   2.242    0
8.597   0.253   1.000    0
8.933   0.050   1.396    1
8.857   0.010   1.000    0
8.562   -0.223   3.255    0
9.063   -0.282   1.318    0
9.424   -0.721   1.000    0
8.945   0.294   1.342    0
9.622   -1.415   1.000    0
9.227   -0.141   1.000    0
9.027   0.039   1.000    1
8.758   0.125   2.058    0
8.658   0.012   1.361    0
9.038   0.036   1.000    1
8.911   0.010   1.000    1
8.757   -0.460   1.572    0
8.937   0.296   1.000    0
9.484   -0.248   1.000    1
8.906   -0.441   4.263    0
9.633   -0.356   1.128    1
9.039   -0.542   2.197    1
8.548   0.221   1.000    1
8.508   0.493   1.326    1
9.409   -0.013   1.000    1
9.014   -0.192   1.000    0
9.635   -1.452   1.000    1
8.748   0.634   1.000    1
9.512   -0.759   1.000    1
8.572   0.141   2.645    0
9.434   -0.432   1.000    1
8.816   0.038   1.630    1
8.686   0.461   1.000    1
8.822   -0.260   7.548    0
8.528   0.514   1.000    1
8.992   0.129   1.000    1
8.643   0.209   2.277    0
8.760   -0.658   1.010    1
9.500   -0.397   1.000    1
9.286   -0.430   1.000    1
9.430   -0.410   1.000    1
8.755   0.291   1.000    1
9.077   -0.047   1.000    0
9.156   0.060   1.000    1
8.841   0.321   1.000    1
9.525   -0.851   1.000    1
9.481   -0.782   1.000    0
10.152   -0.793   1.000    1
8.977   -0.338   2.218    1
8.825   0.492   1.000    0
8.584   0.406   1.000    1
9.388   -0.552   1.000    0
9.238   0.110   1.000    0
8.843   -0.296   1.756    1
9.179   -0.778   1.057    1
9.180   -1.091   2.688    1
8.841   0.098   1.000    1
9.148   -0.671   1.000    1
9.005   -0.124   1.000    1
9.314   0.013   1.000    1
8.965   -0.014   1.155    1
8.703   0.534   1.000    1
9.390   -0.004   1.000    1
8.687   0.226   1.000    1
8.991   -0.923   2.879    0
